forecast_model,feature_set,cv_kind,estimator,n,n_features,mae,r2
graphwavenet_transfer,physical_knowledge,leave_target_region_out,ridge,52920,12,0.09517368829307866,0.06075982833701865
graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.09239839404171431,-0.01531016654550732
graphwavenet_transfer,generic_shift,leave_target_region_out,ridge,52920,11,0.1069373578738734,-0.11365490714341275
graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,52920,11,0.09477823709558836,-0.054101957941081746
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.09757597357876609,0.037265897162160444
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.09137996586670633,-0.05284251141096985
graphwavenet_transfer,physical_knowledge,group_by_cell,ridge,52920,12,0.09416057556723702,0.12100357889758673
graphwavenet_transfer,physical_knowledge,group_by_cell,random_forest,52920,12,0.07870361269145662,0.27876956505366257
graphwavenet_transfer,generic_shift,group_by_cell,ridge,52920,11,0.0937562637752484,0.003619223002213956
graphwavenet_transfer,generic_shift,group_by_cell,random_forest,52920,11,0.08112308053301444,0.1499308678029968
graphwavenet_transfer,physical_plus_shift,group_by_cell,ridge,52920,23,0.09357392447684579,0.12726474177729497
graphwavenet_transfer,physical_plus_shift,group_by_cell,random_forest,52920,23,0.06721661803603961,0.34383437643919834
linear_window,physical_knowledge,leave_target_region_out,ridge,52920,12,1.121391757957316,-0.0010331536387757634
linear_window,physical_knowledge,leave_target_region_out,random_forest,52920,12,1.1491818129257931,-0.05070809632190909
linear_window,generic_shift,leave_target_region_out,ridge,52920,11,1.12039050522201,-0.0006554864975021335
linear_window,generic_shift,leave_target_region_out,random_forest,52920,11,1.1250101701813977,-0.005352729001341983
linear_window,physical_plus_shift,leave_target_region_out,ridge,52920,23,1.121322689953791,-0.0008272465897223302
linear_window,physical_plus_shift,leave_target_region_out,random_forest,52920,23,1.1471173795477567,-0.04570401562311055
linear_window,physical_knowledge,group_by_cell,ridge,52920,12,1.1224810583603717,-0.0021042441028007453
linear_window,physical_knowledge,group_by_cell,random_forest,52920,12,1.1572873687563976,-0.06447578294752598
