forecast_model,feature_set,cv_kind,estimator,n,n_features,mae,r2
graphwavenet_transfer,physical_knowledge,leave_target_region_out,ridge,52920,12,0.09283218498355532,0.1154978166949503
graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.08248014991778722,0.1919483604714024
graphwavenet_transfer,generic_shift,leave_target_region_out,ridge,52920,11,0.10564989608815678,-0.10872649603961415
graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,52920,11,0.09483806499192288,-0.07903299285461274
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.0951217524479235,0.08334230518092411
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.08169622550174274,0.17828573311544205
graphwavenet_transfer,physical_knowledge,group_by_cell,ridge,52920,12,0.09153418466838949,0.15468449511604054
graphwavenet_transfer,physical_knowledge,group_by_cell,random_forest,52920,12,0.07548533199608387,0.3332369005922585
graphwavenet_transfer,generic_shift,group_by_cell,ridge,52920,11,0.0945899079889628,0.00492562459194168
graphwavenet_transfer,generic_shift,group_by_cell,random_forest,52920,11,0.08058451165551506,0.15469409615844443
graphwavenet_transfer,physical_plus_shift,group_by_cell,ridge,52920,23,0.09165443728545215,0.15131141384826485
graphwavenet_transfer,physical_plus_shift,group_by_cell,random_forest,52920,23,0.06239829765151846,0.42958432442113426
linear_window,physical_knowledge,leave_target_region_out,ridge,52920,12,1.146498409967249,-0.004435144611975916
linear_window,physical_knowledge,leave_target_region_out,random_forest,52920,12,1.17506530382444,-0.054087977438370904
linear_window,generic_shift,leave_target_region_out,ridge,52920,11,1.1451317848621134,-0.00014158086526916414
linear_window,generic_shift,leave_target_region_out,random_forest,52920,11,1.1470008131824851,-0.0017560138171666129
linear_window,physical_plus_shift,leave_target_region_out,ridge,52920,23,1.1469572213627903,-0.004773183333494746
linear_window,physical_plus_shift,leave_target_region_out,random_forest,52920,23,1.1746437519215385,-0.052343670849163804
linear_window,physical_knowledge,group_by_cell,ridge,52920,12,1.1475184767556754,-0.007224777284292383
linear_window,physical_knowledge,group_by_cell,random_forest,52920,12,1.1861205519846278,-0.10713146096273496
linear_window,generic_shift,group_by_cell,ridge,52920,11,1.1451160507816587,-0.0003325273843486354
linear_window,generic_shift,group_by_cell,random_forest,52920,11,1.1475116114881112,-0.006367544633797628
linear_window,physical_plus_shift,group_by_cell,ridge,52920,23,1.1476377621195268,-0.007352118923087625
linear_window,physical_plus_shift,group_by_cell,random_forest,52920,23,1.1855327364336952,-0.10571529203879804
patchtst_small,physical_knowledge,leave_target_region_out,ridge,52920,12,1.1530783723450184,-0.004048621292156662
patchtst_small,physical_knowledge,leave_target_region_out,random_forest,52920,12,1.1808690124579044,-0.0528476825442552
patchtst_small,generic_shift,leave_target_region_out,ridge,52920,11,1.1514502060915557,-9.461947796562953e-05
patchtst_small,generic_shift,leave_target_region_out,random_forest,52920,11,1.154293493259293,-0.002585841333233363
